Student ID,Student ID,Week 1 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 2 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 3 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 4 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 5 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 7 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 8 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 9 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 10 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 11 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 12 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 13 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Tutorial Attendance Subtotal Numerator,Tutorial Attendance Subtotal Denominator,Week 2 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 3 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 4 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 5 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 7 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 9 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 8 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 10 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 11 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 12 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 13 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Worksheets Subtotal Numerator,Worksheets Subtotal Denominator,Week 1 Critical Thinking Question Points Grade <Numeric MaxPoints:8 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 2 Critical Thinking Question Points Grade <Numeric MaxPoints:8 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 3 Critical Thinking Question Points Grade <Numeric MaxPoints:15 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 4 Critical Thinking Question Points Grade <Numeric MaxPoints:15 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 7 Critical Thinking Question Points Grade <Numeric MaxPoints:12 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 8 Critical Thinking Question Points Grade <Numeric MaxPoints:13 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 9 Critical Thinking Question Points Grade <Numeric MaxPoints:9 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 10 Critical Thinking Question Points Grade <Numeric MaxPoints:10 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 11 Critical Thinking Question Points Grade <Numeric MaxPoints:10 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 12 Critical Thnking Question Points Grade <Numeric MaxPoints:20 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 13 Critical Thinking Question Points Grade <Numeric MaxPoints:17 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Critical Thinking Questions Subtotal Numerator,Critical Thinking Questions Subtotal Denominator,Midterm Oct 19 Points Grade <Numeric MaxPoints:40 Weight:25>,Final exam Points Grade <Numeric MaxPoints:87 Weight:50>,Calculated Final Grade Numerator,Calculated Final Grade Denominator,Adjusted Final Grade Numerator,Adjusted Final Grade Denominator,End-of-Line Indicator,Unnamed: 48,Final bigger weight,Final Grade /87,,,,,,,,
#20175676,#20175676,1,1,,1,,1,1,,1,1,,,3.181818182,5,1,,,,1,1,1,1,1,,1,3.5,5,7,8,12,0,0,5,3,0,0,7,3,5.879128959,15,27.5,40.5,29.74844714,100,,,#,FALSE,49.91890169,52.76,52.76,,FALSE,,FALSE,,,
#20636488,#20636488,1,1,1,1,1,1,1,1,,1,1,1,5,5,1,1,1,1,1,1,,1,1,1,1,5,5,8,8,13,14.5,11.5,0,7,9.5,6,17,14.5,13.23357843,15,26,48.5,39.48357843,100,,,#,FALSE,65.80460116,67.04,67.04,,FALSE,,FALSE,,,
#20670525,#20670525,1,1,1,1,1,1,,,1,,,,3.181818182,5,,1,,1,,,,,,1,1,2,5,0,8,10,11.5,0,0,0,0,4,16,0,5.45,15,13.7,17.5,19.19431818,100,,,#,TRUE,27.34204545,29.14,29.14,,FALSE,,TRUE,,,
#20720736,#20720736,1,,,,1,1,1,,,,1,1,2.727272727,5,1,1,,1,1,1,1,,,,1,3.5,5,4.5,8,0,12.5,12,0,5,0,0,0,9.5,6.765318627,15,10,26.5,19.24259136,100,,,#,TRUE,34.93861408,34.30,34.94,,TRUE,,TRUE,,,
#20729953,#20729953,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,7,7,11,12,11.5,7.5,4,8,6.5,16,16,12.01464932,15,32.5,66,42.32714932,100,,,#,FALSE,79.04589932,79.83,79.83,,FALSE,,FALSE,,,
#20729977,#20729977,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,4.5,6,12,7.5,11.5,3,6.5,3,4,7,17,9.514583333,15,18,29.5,30.76458333,100,,,#,TRUE,46.09128788,47.53,47.53,,FALSE,,TRUE,,,
#20741406,#20741406,1,1,,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,12,11.5,9.5,4,3.5,0,5,15,16.5,9.600754148,15,26.5,56.5,36.16325415,100,,,#,FALSE,68.00984506,68.27,68.27,,FALSE,,FALSE,,,
#20757514,#20757514,1,1,1,,,1,,,,1,,,2.272727273,5,1,,,,,,1,,,,,1,5,6,8,0,0,9,0,0,0,0,18,0,5.1,15,20.5,,21.18522727,100,,,#,TRUE,14.77897727,21.19,21.19,,FALSE,,TRUE,,,
#20771402,#20771402,1,1,1,1,1,1,,,1,1,,,3.636363636,5,1,1,,1,1,,,,,,,2,5,6.5,7,11,0,8.5,0,0,0,0,0,0,4.69375,15,19,52,22.20511364,100,,,#,FALSE,53.19943182,51.75,53.20,,TRUE,,FALSE,,,
#20771536,#20771536,1,1,1,,1,1,,,,,,,2.272727273,5,1,1,,1,,,,,1,1,,2.5,5,7,5,0,13.5,9,1,3.5,1.5,0,15,2,6.950188537,15,13.5,,20.16041581,100,,,#,TRUE,15.94166581,20.16,20.16,,FALSE,,TRUE,,,
#20771768,#20771768,1,,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,7,8,16,14,10,7.5,4.5,9,9,17,15,13.22641403,15,31.5,44.5,42.91391403,100,,,#,FALSE,64.67527767,68.20,68.20,,FALSE,,FALSE,,,
#20778473,#20778473,1,,,,,1,,1,1,1,,1,2.727272727,5,1,1,1,1,1,1,1,1,1,1,1,5,5,8,8,13,14,12,9.5,5.5,9,10,15.5,16,13.72041855,15,37.5,80.5,44.88519128,100,,,#,FALSE,90.33973673,90.62,90.62,,FALSE,,FALSE,,,
#20778550,#20778550,,,1,1,,1,1,1,1,,1,1,3.636363636,5,1,1,,1,1,1,1,1,1,1,1,5,5,7.5,8,11,14,11,0,6,7.5,6,18,18,12.74448529,15,27,60.5,38.25584893,100,,,#,FALSE,72.78709893,72.63,72.79,,TRUE,,FALSE,,,
#20780623,#20780623,,1,1,1,,1,1,1,,1,,,3.181818182,5,1,,1,1,1,1,,1,1,,1,4,5,0,7,8,8.5,7.5,4,5.5,4,4,16,14,8.913499246,15,25,28.5,31.72031743,100,,,#,TRUE,44.1492947,47.91,47.91,,FALSE,,TRUE,,,
#20782219,#20782219,,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,,1,1,1,5,5,6.5,8,15,10.5,10.5,0,6,7,7,16.5,18,12.50698529,15,28,63.5,40.00698529,100,,,#,FALSE,76.35641711,76.09,76.36,,TRUE,,FALSE,,,
#20788908,#20788908,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,,1,1,1,1,5,5,7,8,9,8.5,10,5.5,6,6.5,1,10,17,10.67211539,15,11,17.5,27.54711539,100,,,#,TRUE,36.53859266,37.49,37.49,,FALSE,,TRUE,,,
